MARKE,KOMERCINIS_PAV,ELEKTRINE_TP,APSKRITIS,PIRM_REG_METAI_LT
MAZDA,MAZDA MX-30,Y,Vilniaus,2021-11
PEUGEOT,ION,Y,Šiaulių,2021-09
BMW i,I3S,Y,Vilniaus,2021-12
BMW i,i3,Y,Kauno,2021-06
LUQI,HL6.0S,Y,Vilniaus,2021-07
PEUGEOT,2008,Y,Vilniaus,2021-07
PEUGEOT,2008,Y,Vilniaus,2021-07
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2021-12
NISSAN,NISSAN LEAF 62KWH,Y,Klaipėdos,2021-12
BMW i,i3,Y,Vilniaus,2021-04
HYUNDAI,KONA. KAUAI,Y,Kauno,2021-12
NISSAN,LEAF 30KWH,Y,Vilniaus,2021-05
VOLVO,XC40,Y,Kauno,2021-12
VOLKSWAGEN. VW,ID.4 PRO 150 KW,Y,Panevėžio,2021-07
PEUGEOT,2008,Y,Vilniaus,2021-07
TESLA,MODEL 3,Y,Klaipėdos,2021-09
XINDAYANG,ZHIDOU;ICARO;SHARE'NGO,Y,Kauno,2022-01
NISSAN,NISSAN LEAF 40KWH,Y,Šiaulių,2022-01
PEUGEOT,2008,Y,Vilniaus,2021-10
BMW i,i3,Y,Klaipėdos,2021-08
NISSAN,LEAF 30KWH,Y,Kauno,2021-11
TESLA,MODEL S,Y,Vilniaus,2021-04
NISSAN,NISSAN E-NV200,Y,Kauno,2022-01
RENAULT,ZOE,Y,Šiaulių,2021-09
BMW i,i3,Y,Kauno,2021-09
SKODA,ENYAQ 80,Y,Kauno,2021-06
PORSCHE,TAYCAN 4S,Y,Kauno,2022-01
HYUNDAI,IONIQ,Y,Kauno,2021-12
TESLA,MODEL 3,Y,Kauno,2021-07
PEUGEOT,208,Y,Vilniaus,2021-06
SKODA,ENYAQ 60,Y,Vilniaus,2021-08
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2021-12
OPEL,AMPERA-E,Y,Vilniaus,2021-06
TESLA,MODEL 3,Y,Vilniaus,2021-09
DACIA,SPRING,Y,Vilniaus,2021-12
PEUGEOT,208,Y,Vilniaus,2021-06
VOLKSWAGEN,GOLF,Y,Kauno,2021-05
NISSAN,LEAF 40KWH,Y,Vilniaus,2021-11
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2021-10
TESLA,MODEL 3,Y,Vilniaus,2021-04
CITROEN,C-ZERO,Y,Šiaulių,2021-10
BMW i,i3,Y,Vilniaus,2021-10
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2021-12
NISSAN,LEAF 24KWH,Y,Vilniaus,2021-09
MAZDA,MAZDA MX-30,Y,Kauno,2021-11
TESLA,MODEL 3,Y,Klaipėdos,2021-12
KIA,NIRO,Y,Vilniaus,2021-09
TESLA,MODEL Y,Y,Vilniaus,2021-09
NISSAN,NISSAN LEAF 40KWH,Y,Kauno,2021-09
AUDI,E-TRON GT,Y,Klaipėdos,2022-01
TESLA,MODEL 3,Y,Vilniaus,2021-10
BMW i,SERIE I,Y,Vilniaus,2021-08
NISSAN,LEAF 30KWH,Y,Kauno,2021-06
OPEL,MOKKA,Y,Vilniaus,2021-12
OPEL,AMPERA-E,Y,Vilniaus,2021-08
TESLA,MODEL 3,Y,Kauno,2021-10
