KIEKIS,PIRM_REG_METAI_LT,PIRM_REG_MEN_LT,PIRM_REG_DIENA_LT
462,2017,4,15
507,2017,4,18
586,2017,4,19
509,2017,4,20
625,2017,4,21
452,2017,4,22
202,2017,4,24
669,2017,4,25
597,2017,4,26
542,2017,4,27
594,2017,4,28
462,2017,4,29
559,2017,5,2
556,2017,5,3
578,2017,5,4
570,2017,5,5
455,2017,5,6
218,2017,5,8
729,2017,5,9
598,2017,5,10
580,2017,5,11
583,2017,5,12
461,2017,5,13
201,2017,5,15
760,2017,5,16
635,2017,5,17
573,2017,5,18
676,2017,5,19
492,2017,5,20
196,2017,5,22
681,2017,5,23
574,2017,5,24
561,2017,5,25
623,2017,5,26
438,2017,5,27
230,2017,5,29
689,2017,5,30
613,2017,5,31
536,2017,6,1
556,2017,6,2
437,2017,6,3
194,2017,6,5
735,2017,6,6
551,2017,6,7
528,2017,6,8
590,2017,6,9
451,2017,6,10
206,2017,6,12
682,2017,6,13
515,2017,6,14
538,2017,6,15
681,2017,6,16
456,2017,6,17
186,2017,6,19
718,2017,6,20
597,2017,6,21
571,2017,6,22
595,2017,6,23
208,2017,6,26
744,2017,6,27
658,2017,6,28
590,2017,6,29
571,2017,6,30
452,2017,7,1
207,2017,7,3
713,2017,7,4
596,2017,7,5
670,2017,7,7
460,2017,7,8
236,2017,7,10
782,2017,7,11
605,2017,7,12
608,2017,7,13
599,2017,7,14
433,2017,7,15
208,2017,7,17
707,2017,7,18
637,2017,7,19
547,2017,7,20
615,2017,7,21
427,2017,7,22
184,2017,7,24
706,2017,7,25
597,2017,7,26
546,2017,7,27
654,2017,7,28
407,2017,7,29
226,2017,7,31
696,2017,8,1
544,2017,8,2
601,2017,8,3
574,2017,8,4
401,2017,8,5
233,2017,8,7
723,2017,8,8
578,2017,8,9
576,2017,8,10
562,2017,8,11
390,2017,8,12
187,2017,8,14
711,2017,8,16
555,2017,8,17
583,2017,8,18
403,2017,8,19
190,2017,8,21
647,2017,8,22
575,2017,8,23
500,2017,8,24
632,2017,8,25
429,2017,8,26
215,2017,8,28
689,2017,8,29
592,2017,8,30
557,2017,8,31
501,2017,9,1
414,2017,9,2
179,2017,9,4
630,2017,9,5
477,2017,9,6
466,2017,9,7
509,2017,9,8
412,2017,9,9
202,2017,9,11
564,2017,9,12
528,2017,9,13
521,2017,9,14
526,2017,9,15
436,2017,9,16
191,2017,9,18
640,2017,9,19
521,2017,9,20
470,2017,9,21
517,2017,9,22
419,2017,9,23
194,2017,9,25
641,2017,9,26
545,2017,9,27
483,2017,9,28
514,2017,9,29
440,2017,9,30
183,2017,10,2
655,2017,10,3
524,2017,10,4
457,2017,10,5
515,2017,10,6
462,2017,10,7
177,2017,10,9
673,2017,10,10
506,2017,10,11
527,2017,10,12
467,2017,10,13
470,2017,10,14
203,2017,10,16
679,2017,10,17
490,2017,10,18
545,2017,10,19
521,2017,10,20
471,2017,10,21
213,2017,10,23
715,2017,10,24
582,2017,10,25
490,2017,10,26
593,2017,10,27
454,2017,10,28
237,2017,10,30
658,2017,10,31
576,2017,11,2
580,2017,11,3
440,2017,11,4
220,2017,11,6
633,2017,11,7
547,2017,11,8
526,2017,11,9
487,2017,11,10
408,2017,11,11
184,2017,11,13
595,2017,11,14
455,2017,11,15
471,2017,11,16
475,2017,11,17
390,2017,11,18
165,2017,11,20
584,2017,11,21
498,2017,11,22
434,2017,11,23
481,2017,11,24
391,2017,11,25
173,2017,11,27
582,2017,11,28
465,2017,11,29
445,2017,11,30
449,2017,12,1
391,2017,12,2
136,2017,12,4
558,2017,12,5
445,2017,12,6
392,2017,12,7
458,2017,12,8
398,2017,12,9
162,2017,12,11
535,2017,12,12
486,2017,12,13
435,2017,12,14
463,2017,12,15
347,2017,12,16
159,2017,12,18
666,2017,12,19
515,2017,12,20
526,2017,12,21
612,2017,12,22
373,2017,12,23
538,2017,12,27
547,2017,12,28
565,2017,12,29
289,2017,12,30
468,2018,1,2
514,2018,1,3
468,2018,1,4
531,2018,1,5
384,2018,1,6
147,2018,1,8
619,2018,1,9
490,2018,1,10
468,2018,1,11
478,2018,1,12
378,2018,1,13
179,2018,1,15
570,2018,1,16
439,2018,1,17
423,2018,1,18
431,2018,1,19
362,2018,1,20
144,2018,1,22
621,2018,1,23
465,2018,1,24
422,2018,1,25
479,2018,1,26
386,2018,1,27
121,2018,1,29
602,2018,1,30
450,2018,1,31
432,2018,2,1
542,2018,2,2
363,2018,2,3
128,2018,2,5
624,2018,2,6
536,2018,2,7
399,2018,2,8
528,2018,2,9
370,2018,2,10
137,2018,2,12
627,2018,2,13
560,2018,2,14
530,2018,2,15
385,2018,2,17
176,2018,2,19
659,2018,2,20
517,2018,2,21
536,2018,2,22
530,2018,2,23
373,2018,2,24
148,2018,2,26
647,2018,2,27
505,2018,2,28
455,2018,3,1
449,2018,3,2
343,2018,3,3
140,2018,3,5
658,2018,3,6
499,2018,3,7
495,2018,3,8
522,2018,3,9
360,2018,3,10
166,2018,3,12
653,2018,3,13
513,2018,3,14
511,2018,3,15
550,2018,3,16
428,2018,3,17
157,2018,3,19
